term,gene
2-Oxocarboxylic acid metabolism,GPT2
2-Oxocarboxylic acid metabolism,IDH3G
2-Oxocarboxylic acid metabolism,IDH2
2-Oxocarboxylic acid metabolism,IDH1
2-Oxocarboxylic acid metabolism,ACO1
2-Oxocarboxylic acid metabolism,ACO2
2-Oxocarboxylic acid metabolism,ACY1
2-Oxocarboxylic acid metabolism,CS
2-Oxocarboxylic acid metabolism,BCAT1
2-Oxocarboxylic acid metabolism,BCAT2
2-Oxocarboxylic acid metabolism,IDH3B
2-Oxocarboxylic acid metabolism,AADAT
2-Oxocarboxylic acid metabolism,GPT
2-Oxocarboxylic acid metabolism,ABHD14A-ACY1
2-Oxocarboxylic acid metabolism,GOT2
2-Oxocarboxylic acid metabolism,IDH3A
2-Oxocarboxylic acid metabolism,NAGS
2-Oxocarboxylic acid metabolism,GOT1L1
2-Oxocarboxylic acid metabolism,GOT1
ABC transporters,ABCG1
ABC transporters,ABCC4
ABC transporters,ABCC5
ABC transporters,ABCD3
ABC transporters,ABCB11
ABC transporters,ABCB4
ABC transporters,ABCB1
ABC transporters,ABCC6
ABC transporters,ABCB5
ABC transporters,ABCA12
ABC transporters,ABCA4
ABC transporters,ABCA5
ABC transporters,ABCA6
ABC transporters,ABCC2
ABC transporters,ABCD4
ABC transporters,ABCC3
ABC transporters,ABCB8
ABC transporters,ABCB9
ABC transporters,ABCB10
ABC transporters,ABCA13
ABC transporters,DEFB1
ABC transporters,ABCD2
ABC transporters,ABCB7
ABC transporters,ABCD1
ABC transporters,ABCA3
ABC transporters,ABCA1
ABC transporters,ABCA2
ABC transporters,ABCG2
ABC transporters,ABCG4
ABC transporters,ABCG5
ABC transporters,ABCC1
ABC transporters,CFTR
ABC transporters,ABCC11
ABC transporters,ABCC10
ABC transporters,TAP1
ABC transporters,ABCC12
ABC transporters,ABCC8
ABC transporters,ABCB6
ABC transporters,ABCC9
ABC transporters,TAP2
ABC transporters,ABCA10
ABC transporters,ABCA8
ABC transporters,ABCG8
ABC transporters,ABCA7
ABC transporters,ABCA9
AGE-RAGE signaling pathway in diabetic complications,COL4A6
AGE-RAGE signaling pathway in diabetic complications,CDK4
AGE-RAGE signaling pathway in diabetic complications,CDC42
AGE-RAGE signaling pathway in diabetic complications,SELE
AGE-RAGE signaling pathway in diabetic complications,COL4A5
AGE-RAGE signaling pathway in diabetic complications,MAPK12
AGE-RAGE signaling pathway in diabetic complications,EDN1
AGE-RAGE signaling pathway in diabetic complications,PLCB1
AGE-RAGE signaling pathway in diabetic complications,NOX1
AGE-RAGE signaling pathway in diabetic complications,PIK3R3
AGE-RAGE signaling pathway in diabetic complications,AKT3
AGE-RAGE signaling pathway in diabetic complications,MAPK13
AGE-RAGE signaling pathway in diabetic complications,FOXO1
AGE-RAGE signaling pathway in diabetic complications,PIK3R1
AGE-RAGE signaling pathway in diabetic complications,PRKCZ
AGE-RAGE signaling pathway in diabetic complications,VCAM1
AGE-RAGE signaling pathway in diabetic complications,PIK3CA
AGE-RAGE signaling pathway in diabetic complications,FN1
AGE-RAGE signaling pathway in diabetic complications,PIM1
AGE-RAGE signaling pathway in diabetic complications,CDKN1B
AGE-RAGE signaling pathway in diabetic complications,PLCB4
AGE-RAGE signaling pathway in diabetic complications,MAPK9
AGE-RAGE signaling pathway in diabetic complications,SMAD3
AGE-RAGE signaling pathway in diabetic complications,RAC1
AGE-RAGE signaling pathway in diabetic complications,TGFB3
AGE-RAGE signaling pathway in diabetic complications,PLCB3
AGE-RAGE signaling pathway in diabetic complications,ICAM1
AGE-RAGE signaling pathway in diabetic complications,TGFB1
AGE-RAGE signaling pathway in diabetic complications,MAPK3
